url,code,buy_below
https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_4?crid=3O6JLS4P80YY5&keywords=boat%2B141&qid=1682331992&sprefix=boat%2B14%2Caps%2C447&sr=8-4&th=1,B09N3ZNHTY,1199
https://www.amazon.in/HP-i3-27inches-Micro-Edge-Anti-Glare-27-cb1345in/dp/B0B4SK9VX6/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=Nsczs&content-id=amzn1.sym.7938e11a-362b-421f-bd30-8dd8d3c4b65f&pf_rd_p=7938e11a-362b-421f-bd30-8dd8d3c4b65f&pf_rd_r=P3Q16WA1NC3STPM4Q664&pd_rd_wg=VEw6b&pd_rd_r=60b6a604-97ae-47dc-b85a-c5d4f4bc5039&pd_rd_i=B0B4SK9VX6&th=1,B0B4SK9VX6,52990
https://www.amazon.in/Dell-Inspiron-Generation-i5-1135G7-Graphics/dp/B08N6FBQSN/ref=pd_ci_mcx_mh_mcx_views_1?pd_rd_w=Nsczs&content-id=amzn1.sym.7938e11a-362b-421f-bd30-8dd8d3c4b65f&pf_rd_p=7938e11a-362b-421f-bd30-8dd8d3c4b65f&pf_rd_r=P3Q16WA1NC3STPM4Q664&pd_rd_wg=VEw6b&pd_rd_r=60b6a604-97ae-47dc-b85a-c5d4f4bc5039&pd_rd_i=B08N6FBQSN,B08N6FBQSN,98000
https://www.amazon.in/Quaker-Oats-2kg/dp/B01LYEV6RF/?_encoding=UTF8&pd_rd_w=RS7lB&content-id=amzn1.sym.5c814d96-2484-4cc4-ae9d-5ef2d4100284&pf_rd_p=5c814d96-2484-4cc4-ae9d-5ef2d4100284&pf_rd_r=86GGTF1XS06JAS3P93MA&pd_rd_wg=W1zD7&pd_rd_r=efd85543-4dda-4c4f-a318-12b12db82449&ref_=pd_gw_trq_ed_oe46qycn,B01LYEV6RF,318
https://www.amazon.in/dp/B0BP1MLLYS/?coliid=I367JUBOYXETFN&colid=25PX1G41D0DLH&psc=1&ref_=lv_ov_lig_dp_it,B0BP1MLLYS,4999
https://www.amazon.in/dp/B0949SBKMP/?coliid=I2W6RAA33UDPBY&colid=25PX1G41D0DLH&psc=1&ref_=lv_ov_lig_dp_it,B0949SBKMP,1799
https://www.amazon.in/dp/B077RY8CTX/?coliid=I39JL87HNE2YL0&colid=25PX1G41D0DLH&psc=1&ref_=lv_ov_lig_dp_it,B077RY8CTX,849
https://www.amazon.in/dp/B08XJRR3P8/?coliid=I28TLSEPIMSV0D&colid=25PX1G41D0DLH&psc=1&ref_=lv_ov_lig_dp_it,B08XJRR3P8,1499
https://www.amazon.in/dp/8179922324/?coliid=I3SDL0W84PM1M5&colid=25PX1G41D0DLH&psc=1&ref_=lv_ov_lig_dp_it,8179922324,159
https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3C6FBPF/ref=sr_1_1_sspa?crid=5RYPR2GAGEW9&keywords=macbook+air+m2&qid=1683721657&sprefix=macbook%2Caps%2C408&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,B0B3C6FBPF,106990
https://www.amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5XSG8Z/ref=sr_1_9?crid=5RYPR2GAGEW9&keywords=macbook+air+m2&qid=1683721657&sprefix=macbook%2Caps%2C408&sr=8-9,B08N5XSG8Z,81900
https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0B3BXKV8W/ref=sr_1_2_sspa?crid=5RYPR2GAGEW9&keywords=macbook+air+m2&qid=1683721657&sprefix=macbook%2Caps%2C408&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,B0B3BXKV8W,149900